user_id,status_id,created_at,screen_name,text,source,display_text_width,country
304575140,1406732206295457797,2021-06-20T21:54:28Z,PinkyDonaldson,"@TwoPacSugar @PressivX awww the little guy.

Yep childbirth is physical trauma for both mother and child.",Twitter Web App,122,NA
304575140,1404982625333305354,2021-06-16T02:02:15Z,PinkyDonaldson,"🆕From @clevrblends IG
In celebration of the arrival of baby Lili,.... The Duke and Duchess of Sussex's daughter, we’re donating 10% from all Rose Cacao sales this week to @everymomcounts does critical work to make pregnancy &amp; childbirth safe...."" 🌸 
#MeghanMarkle #PrinceHarry https://t.co/NFICvGpi6T",Twitter Web App,140,NA
846642434616561664,1406731823229685763,2021-06-20T21:52:57Z,DoctorEmto,@DoctorEmto Changes occur in marriage especially after childbirth. Know this and know peace,Twitter for Android,104,NA
846642434616561664,1406716346746933250,2021-06-20T20:51:27Z,DoctorEmto,"The vagina after childbirth is not the vagina before childbirth.

The problem is that your Penis didn't increase in size. The baby is yours by the way. So what are you going to do about it? 🙂",Twitter for Android,191,NA
846642434616561664,1406721140899385350,2021-06-20T21:10:30Z,DoctorEmto,"@JeanyMaluleke @OsasBenjizee It means, the vagina isn't the same after childbirth... May not be as tight as it used to be... Sho get eh?",Twitter for Android,107,NA
846642434616561664,1406714651476475907,2021-06-20T20:44:43Z,DoctorEmto,"What will you do, when her very sweet ""tight"" vagina is no longer sweet and tight?

(For example, this happens commonly after  childbirth)",Twitter for Android,138,NA
846642434616561664,1404873006485213198,2021-06-15T18:46:40Z,DoctorEmto,"Healthcare they refused to develop for the suffering masses in Nigeria.  

Every minute Nigerian politicians are running to UK, France &amp; UAE  hospitals on the backs of Nigerian tax payers money while the masses still die from cholera, malaria and childbirth on a daily basis. https://t.co/wYG5rmDH7h",Twitter for Android,140,NA
1862886446,1406731754728136704,2021-06-20T21:52:40Z,littleboyzy,"Ambulance call out? $2,500. Childbirth? $30,000. 

Our NHS is not for sale, @realDonaldTrump https://t.co/q9z4r6Ni6g",Twitter for iPhone,136,NA
187252871,1406731674998775810,2021-06-20T21:52:21Z,LaylaNatalie,What hurts more childbirth or getting kicked in the balls https://t.co/pQaMpfUy1e,Twitter for iPhone,57,NA
1312037925333463042,1406731662990397442,2021-06-20T21:52:18Z,0gwa_30,@DoctorEmto Changes occur in marriage especially after childbirth. Know this and know peace,Twitter for Android,79,NA
